id,町字,レイヤー,種別,名称,住所,緯度,経度,説明あり,現teaser,担当,写真ファイル名,伏せた一行,到着後の説明
7683,元浅草,体験する,手植えブラシ,宮川刷毛ブラシ製作所,東京都台東区元浅草2-10-14,35.710808,139.784668,,江戸刷毛・東京手植ブラシの職人が手を動かしている仕事場,,,,
7769,元浅草,体験する,江戸刷毛・東京手植ブラシ,宮川刷毛ブラシ製作所,東京都台東区元浅草2-10-14,35.710808,139.784668,,江戸刷毛・東京手植ブラシの職人が手を動かしている仕事場,,,,
7795,元浅草,体験する,銭湯,日の出湯（元浅草）,東京都台東区元浅草2-10-5,35.710899,139.784314,,旅の途中で湯に浸かれる、町の風呂屋,,,,
7742,元浅草,体験する,貴金属加工,錺職　匠和,東京都台東区元浅草4-7-8,35.710121,139.785126,,貴金属加工の職人が手を動かしている仕事場,,,,
7685,元浅草,体験する,江戸木版画,長尾版画匠,東京都台東区元浅草1-1-1,35.706844,139.784775,,江戸木版画（摺り）の職人が手を動かしている仕事場,,,,
7757,元浅草,体験する,江戸木版画（版画彫刻）,長尾版画匠,東京都台東区元浅草1-1-1,35.706844,139.784775,,江戸木版画（摺り）の職人が手を動かしている仕事場,,,,
7758,元浅草,体験する,江戸木版画（摺り）,長尾版画匠,東京都台東区元浅草1-1-1,35.706844,139.784775,,江戸木版画（摺り）の職人が手を動かしている仕事場,,,,
7516,元浅草,街を見る,名所・史跡,葛飾北斎墓,元浅草4-6-9（誓教寺内）,35.709725,139.785514,,世界でもっとも知られた浮世絵師が眠る,,,,
7857,元浅草,静かに歩く,公園,菊屋橋公園,東京都台東区元浅草3-20-6,35.708745,139.786854,,歩き疲れた足を休められる場所,,,,
7733,入谷,体験する,ガラスペン,佐瀬工業所,東京都台東区入谷2-29-8,35.721642,139.78923,,ガラスペンの職人が手を動かしている仕事場,,,,
7657,入谷,体験する,うどん製造・販売・飲食,手打ちうどん家康,東京都台東区入谷1-23-2,35.721245,139.786865,,作っているところを覗けるうどん製造・販売・飲食の工房,,,,
7827,入谷,静かに歩く,公園,大正公園,東京都台東区入谷2-23-11,35.721034,139.788063,,誰にも急かされずに座っていられる場所,,,,
7547,北上野,静かに歩く,児童遊園,北上野児童遊園,北上野1-1-14先,35.715824,139.782734,,歩き疲れた足を休められる場所,,,,
7810,北上野,静かに歩く,公園,山伏公園,東京都台東区北上野2-9-7,35.716534,139.783574,,腰を下ろせるベンチと木陰がある場所,,,,
7556,北上野,静かに歩く,児童遊園,新坂本児童遊園,北上野2-19-8,35.717844,139.784584,,子どもの声が聞こえる、町の小さな広場,,,,
7665,千束,体験する,印章彫刻,伊藤印房,東京都台東区千束1-19-4,35.720139,139.791275,,印章彫刻の職人が手を動かしている仕事場,,,,
7751,千束,体験する,印章彫刻,伊藤印房,東京都台東区千束1-19-4,35.720139,139.791275,,印章彫刻の職人が手を動かしている仕事場,,,,
7663,千束,体験する,機織り・藍染め工房,和なり屋,東京都台東区千束1-8-10 黒沢ビル1F,35.718395,139.791077,,機織り・藍染めの職人が手を動かしている仕事場,,,,
7792,千束,体験する,銭湯,堤柳泉,東京都台東区千束4-5-4,35.723969,139.797453,,番台の向こうに湯気が立つ、地元の風呂,,,,
7796,千束,体験する,銭湯,富久の湯,東京都台東区千束2-34-6,35.722857,139.790507,,旅の途中で湯に浸かれる、町の風呂屋,,,,
7664,千束,体験する,江戸簾,田中製簾所,東京都台東区千束1-18-6,35.719597,139.79129,,「江戸簾」を今も手で作っている工房,,,,
7765,千束,体験する,江戸簾,田中製簾所,東京都台東区千束1-18-6,35.719597,139.79129,,「江戸簾」を今も手で作っている工房,,,,
7829,千束,静かに歩く,公園,京町公園,東京都台東区千束3-26-18,35.722194,139.794743,,子どもの声が聞こえる、町の小さな広場,,,,
7699,台東,体験する,木製玩具・家具,Blooming,東京都台東区台東2-10-13 ブルーミング1F,35.703129,139.77713,,作っているところを覗ける木製玩具・家具の工房,,,,
7701,台東,体験する,皮革製品の企画、製造,DELIFE Factory Store,東京都台東区台東1ー14ー14東光ビル403,35.701382,139.777969,,作っているところを覗ける皮革製品の企画、製造の工房,,,,
7700,台東,体験する,アクセサリー製造販売,Playacolores　プライアカラレス,東京都台東区台東1-33-12-201,35.702122,139.778427,,アクセサリー製造販売の職人が手を動かしている仕事場,,,,
7698,台東,体験する,ジュエリー工房･緋銅,RINPLA with A.C.T.Y. plains,東京都台東区台東4-20-2 大仙第二ビル 3A,35.70657,139.779602,,ジュエリー工房･緋銅の職人が手を動かしている仕事場,,,,
7697,台東,体験する,ジュエリー製作,アトリエN&S,東京都台東区台東3-14-5 瀧澤ビル1F,35.7047,139.776474,,ジュエリー製作の職人が手を動かしている仕事場,,,,
7694,台東,体験する,宝飾品・アクセサリー,テン・フォレスト,東京都台東区台東3-16-9 シルバービル2F,35.705009,139.776688,,作っているところを覗ける宝飾品・アクセサリーの工房,,,,
7692,台東,体験する,金細工,平本工房,東京都台東区台東4-7-8,35.7061,139.77739,,東京彫金の職人が手を動かしている仕事場,,,,
7744,台東,体験する,東京彫金,平本工房,東京都台東区台東4-7-8,35.7061,139.77739,,東京彫金の職人が手を動かしている仕事場,,,,
7696,台東,体験する,ジュエリー･アクセサリー･宝石スクール,日本宝飾クラフト学院,東京都台東区台東3-13-10,35.704491,139.777252,,作っているところを覗けるジュエリー･アクセサリー･宝石スクールの工房,,,,
7693,台東,体験する,江戸風鈴,篠原まるよし風鈴,東京都台東区台東4-25-10,35.706676,139.781235,,作っているところを覗ける江戸風鈴の工房,,,,
7812,台東,静かに歩く,公園,御徒町公園,東京都台東区台東4-13-3,35.706365,139.777215,,子どもの声が聞こえる、町の小さな広場,,,,
7546,台東,静かに歩く,児童遊園,竹町児童遊園,台東2-24-11,35.703315,139.778605,,誰にも急かされずに座っていられる場所,,,,
7823,台東,静かに歩く,公園,竹町公園,東京都台東区台東4-21-3,35.705705,139.780355,,子どもの声が聞こえる、町の小さな広場,,,,
7714,寿,体験する,陶芸工房,dakota工房,東京都台東区寿4-6-11,35.708485,139.792404,,陶芸の職人が手を動かしている仕事場,,,,
7628,寿,体験する,老舗,ホワイトローズ,東京都台東区寿２－８－１５,35.709412,139.789581,,1721年から続く高級透明傘製造,,,,
7619,寿,体験する,老舗,三佛堂櫻井商店,東京都台東区寿２－７－１１,35.710125,139.788498,,およそ150年、同じ商いを続けてきた店,,,,
7762,寿,体験する,江戸木彫刻,宗舟,東京都台東区寿4-12-2,35.708389,139.793777,,江戸木彫刻の職人が手を動かしている仕事場,,,,
7763,寿,体験する,江戸木彫刻,宗舟,東京都台東区寿4-12-2,35.708389,139.793777,,江戸木彫刻の職人が手を動かしている仕事場,,,,
7734,寿,体験する,硯,株式会社宝研堂,東京都台東区寿4-1-11,35.707935,139.793915,,硯の職人が手を動かしている仕事場,,,,
7747,寿,体験する,桐工芸,株式会社箱長,東京都台東区寿1-4-5,35.706898,139.790085,,「桐工芸」を今も手で作っている工房,,,,
7748,寿,体験する,桐工芸,株式会社箱長,東京都台東区寿1-4-5,35.706898,139.790085,,「桐工芸」を今も手で作っている工房,,,,
7749,寿,体験する,桐工芸,株式会社箱長,東京都台東区寿1-4-5,35.706898,139.790085,,「桐工芸」を今も手で作っている工房,,,,
7548,寿,静かに歩く,児童遊園,寿三丁目児童遊園,寿3-20-2,35.707785,139.791904,,子どもの声が聞こえる、町の小さな広場,,,,
7563,寿,静かに歩く,児童遊園,寿児童遊園,寿3-16-18,35.707245,139.793064,,腰を下ろせるベンチと木陰がある場所,,,,
7861,寿,静かに歩く,公園,済美公園,東京都台東区寿1-4-4,35.706675,139.790004,,歩き疲れた足を休められる場所,,,,
7702,小島,体験する,化粧品製造,タマ美容化学,東京都台東区小島2-18-14,35.706707,139.784088,,化粧品製造の職人が手を動かしている仕事場,,,,
7703,小島,体験する,硝子食器,木本硝子,東京都台東区小島2-18-17,35.706657,139.784561,,作っているところを覗ける硝子食器の工房,,,,
7559,小島,静かに歩く,児童遊園,小島二丁目児童遊園,小島2-20-5,35.706755,139.782075,,誰にも急かされずに座っていられる場所,,,,
7814,小島,静かに歩く,公園,小島公園,東京都台東区小島2-9-4,35.705675,139.783895,,誰にも急かされずに座っていられる場所,,,,
7801,日本堤,体験する,銭湯,天然温泉　湯どんぶり栄湯,東京都台東区日本堤1-4-5,35.725731,139.798751,,旅の途中で湯に浸かれる、町の風呂屋,,,,
7838,日本堤,静かに歩く,公園,堤児童公園,東京都台東区日本堤2-23-11,35.728253,139.796862,,歩き疲れた足を休められる場所,,,,
7668,東浅草,体験する,杖,美　アンド　センス,東京都台東区東浅草2-2-1,35.72298,139.800888,,杖の職人が手を動かしている仕事場,,,,
7502,東浅草,街を見る,名所・史跡,江戸六地蔵,東浅草2丁目12番13号（東禅寺内）,35.724074,139.800293,,江戸の出入口を守るために置かれた地蔵のひとつ,,,,
7847,東浅草,静かに歩く,公園,山谷堀公園,東京都台東区東浅草1-4-9,35.721104,139.800413,,腰を下ろせるベンチと木陰がある場所,,,,
7848,東浅草,静かに歩く,公園,山谷堀公園,東京都台東区東浅草1-13-9,35.721104,139.800413,,腰を下ろせるベンチと木陰がある場所,,,,
7849,東浅草,静かに歩く,公園,山谷堀公園,東京都台東区東浅草1-14-8,35.721104,139.800413,,腰を下ろせるベンチと木陰がある場所,,,,
7850,東浅草,静かに歩く,公園,山谷堀公園,東京都台東区東浅草2-7-14,35.721104,139.800413,,腰を下ろせるベンチと木陰がある場所,,,,
7802,東浅草,静かに歩く,公園,日本堤公園,東京都台東区東浅草2-27-1,35.723924,139.798552,,子どもの声が聞こえる、町の小さな広場,,,,
7658,松が谷,体験する,革製品,nasturtium,東京都台東区松が谷3-15-1 1階,35.716175,139.788177,,革製品の職人が手を動かしている仕事場,,,,
7660,松が谷,体験する,かばん・バッグ,かばん屋PARTNER,東京都台東区松が谷4-26-13,35.718266,139.788559,,作っているところを覗けるかばん・バッグの工房,,,,
7662,松が谷,体験する,ウクレレの販売・体験,キワヤ商会(KIWAYA ウクレレミュージアム「樂」),東京都台東区松か?谷 1-7-3 (株)キワヤ商会内,35.711571,139.786713,,作っているところを覗けるウクレレの販売・体験の工房,,,,
7659,松が谷,体験する,生花・フラワーアレンジメント・茶道,シーズンズフラワー,東京都台東区松が谷4-28-8,35.718994,139.78627,,生花・フラワーアレンジメント・茶道の職人が手を動かしている仕事場,,,,
7621,松が谷,体験する,老舗,新門,東京都台東区松が谷２－１１－６,35.713299,139.787994,,江戸のころから鳶を扱ってきた店,,,,
7661,松が谷,体験する,金銀美術砂子画,深匠,東京都台東区松が谷4-22-1,35.717499,139.788452,,金銀砂子絵の職人が手を動かしている仕事場,,,,
7743,松が谷,体験する,金銀砂子絵,深匠,東京都台東区松が谷4-22-1,35.717499,139.788452,,金銀砂子絵の職人が手を動かしている仕事場,,,,
7739,松が谷,体験する,看板彫刻,福善堂坂井看板店,東京都台東区松が谷3-4-1,35.714897,139.787048,,看板彫刻の職人が手を動かしている仕事場,,,,
7740,松が谷,体験する,看板彫刻,福善堂坂井看板店,東京都台東区松が谷3-4-1,35.714897,139.787048,,看板彫刻の職人が手を動かしている仕事場,,,,
7525,松が谷,街を見る,名所・史跡,玉川兄弟の墓,松が谷2-3-3（聖徳寺内）,35.712785,139.786694,,江戸に水を引いた兄弟が眠る,,,,
7826,松が谷,静かに歩く,公園,入谷南公園,東京都台東区松が谷3-23-7,35.717074,139.786014,,腰を下ろせるベンチと木陰がある場所,,,,
7856,松が谷,静かに歩く,公園,松が谷公園,東京都台東区松が谷4-15-12,35.718374,139.786314,,子どもの声が聞こえる、町の小さな広場,,,,
7811,松が谷,静かに歩く,公園,松葉公園,東京都台東区松が谷1-12-6,35.712085,139.787594,,腰を下ろせるベンチと木陰がある場所,,,,
7732,柳橋,体験する,ビーズ手芸,サン・びーどる,東京都台東区柳橋1-12-2,35.696598,139.786652,,作っているところを覗けるビーズ手芸の工房,,,,
7614,柳橋,体験する,老舗,久月,東京都台東区柳橋１－２０－４,35.697578,139.786636,,1835年から続く節句人形を中心とした人形専門商社,,,,
7674,柳橋,体験する,木目込人形・押絵,久月人形学院（㈱久月内）,東京都台東区柳橋1-20-4,35.697578,139.786636,,作っているところを覗ける木目込人形・押絵の工房,,,,
7633,柳橋,体験する,老舗,美家古鮨本店,東京都台東区柳橋１－１０－１２,35.696499,139.787888,,江戸のころから江戸前寿司店を扱ってきた店,,,,
7493,柳橋,街を見る,観光,日本文具資料館,台東区柳橋1丁目1番15号 （東京文具販売健康保険組合会館１階）,35.696792,139.788763,,小さな展示室がひとつ。静かに時間が流れる場所,,,,
7793,根岸,体験する,銭湯,ひだまりの泉　萩の湯,東京都台東区根岸2-13-13,35.724528,139.777773,,番台の向こうに湯気が立つ、地元の風呂,,,,
7799,根岸,体験する,銭湯,宝泉湯,東京都台東区根岸3-14-14,35.722458,139.782559,,旅の途中で湯に浸かれる、町の風呂屋,,,,
7761,根岸,体験する,東京打刃物,株式会社庄三郎,東京都台東区根岸5-1-2,35.725475,139.786026,,東京打刃物の職人が手を動かしている仕事場,,,,
7759,根岸,体験する,東京三味線,菊岡三絃店,東京都台東区根岸3-12-12,35.723198,139.779968,,「東京三味線」を今も手で作っている工房,,,,
7486,根岸,街を見る,観光,ねぎし三平堂,根岸2丁目10番12号,35.724933,139.776224,,「昭和の爆笑王」と呼ばれた落語家の家が、そのまま残る,,,,
7517,根岸,街を見る,名所・史跡,中村不折旧宅（書道博物館）,根岸2-10-4,35.724643,139.776294,,書が好きなら一度は寄りたい、画家の旧宅,,,,
7825,根岸,静かに歩く,公園,上根岸公園,東京都台東区根岸3-9-6,35.723244,139.778974,,誰にも急かされずに座っていられる場所,,,,
7551,根岸,静かに歩く,児童遊園,中根岸児童遊園,根岸3-16-10,35.723554,139.783354,,歩き疲れた足を休められる場所,,,,
7562,根岸,静かに歩く,児童遊園,根岸二丁目児童遊園,根岸2-9-5、根岸2-8-13,35.725063,139.775174,,歩き疲れた足を休められる場所,,,,
7835,根岸,静かに歩く,公園,根岸公園,東京都台東区根岸4-16-23,35.725544,139.785454,,腰を下ろせるベンチと木陰がある場所,,,,
7858,根岸,静かに歩く,公園,金曽木公園,東京都台東区根岸4-16-14,35.725664,139.784444,,誰にも急かされずに座っていられる場所,,,,
7822,根岸,静かに歩く,公園,鶯谷公園,東京都台東区根岸1-3-17,35.721054,139.779534,,歩き疲れた足を休められる場所,,,,
7797,橋場,体験する,銭湯,富士の湯,東京都台東区橋場2-21-7,35.727947,139.805332,,番台の向こうに湯気が立つ、地元の風呂,,,,
7618,橋場,体験する,老舗,更銈,東京都台東区橋場１－３４－２,35.72562,139.806625,,江戸のころから江戸型染を扱ってきた店,,,,
7504,橋場,街を見る,名所・史跡,妙亀塚,橋場1丁目28番12号（妙亀塚公園内）,35.725355,139.805523,,隅田川に子を探した母の伝説が残る塚,,,,
7503,橋場,街を見る,名所・史跡,安藤東野墓,橋場1丁目16番2号（福寿院内）,35.724065,139.806683,,江戸中期の漢学者が眠る,,,,
7505,橋場,街を見る,名所・史跡,橋場のお化け地蔵,橋場2丁目5番3号（松吟寺内）,35.726324,139.805803,,笠が動くと言い伝えられた、大きな地蔵,,,,
7476,橋場,街を見る,観光,皮革産業資料館,橋場1丁目36番2号産業研修センター内,35.723935,139.808273,,小さな展示室がひとつ。静かに時間が流れる場所,,,,
7832,橋場,静かに歩く,公園,妙亀塚公園,東京都台東区橋場1-28-3,35.725355,139.805533,,腰を下ろせるベンチと木陰がある場所,,,,
7833,橋場,静かに歩く,公園,妙亀塚公園,東京都台東区橋場1-29-6,35.725355,139.805533,,腰を下ろせるベンチと木陰がある場所,,,,
7830,橋場,静かに歩く,公園,橋場公園,東京都台東区橋場2-19-7,35.727775,139.807163,,誰にも急かされずに座っていられる場所,,,,
7731,浅草橋,体験する,伝統工芸　つまみ細工専門店,つまみ細工・一凛堂,東京都台東区浅草橋1-4-6　遠藤ビル2F,35.697178,139.783142,,つまみ細工の職人が手を動かしている仕事場,,,,
7671,浅草橋,体験する,木目込み人形,人形の田辺,東京都台東区浅草橋1-18-10 アックビル7F,35.697613,139.78624,,作っているところを覗ける木目込み人形の工房,,,,
7638,浅草橋,体験する,老舗,吉德,東京都台東区浅草橋１－９－１４,35.696754,139.785706,,江戸のころから雛人形を扱ってきた店,,,,
7791,浅草橋,体験する,銭湯,帝国湯,東京都台東区浅草橋5-23-8,35.702035,139.781773,,番台の向こうに湯気が立つ、地元の風呂,,,,
7606,浅草橋,体験する,老舗,江戸蕎麦手打處あさだ,東京都台東区浅草橋２－２９－１１,35.699726,139.787613,,およそ150年、同じ商いを続けてきた店,,,,
7798,浅草橋,体験する,銭湯,辨天湯,東京都台東区浅草橋1-33-6浅草橋シティハイツ1階,35.698944,139.785032,,番台の向こうに湯気が立つ、地元の風呂,,,,
7626,浅草橋,体験する,老舗,鮒佐,東京都台東区浅草橋２－１－９鮒佐ビル,35.698879,139.787064,,およそ150年、同じ商いを続けてきた店,,,,
7790,浅草橋,体験する,銭湯,鶴の湯（浅草橋）,東京都台東区浅草橋5-27-2,35.701602,139.783538,,番台の向こうに湯気が立つ、地元の風呂,,,,
7494,浅草橋,街を見る,観光,袋物参考館,台東区浅草橋2丁目4番1号,35.698817,139.785752,,鞄や財布の歴史を集めた、知る人ぞ知る展示室,,,,
7554,浅草橋,静かに歩く,児童遊園,向柳原児童遊園,浅草橋2-23-5,35.700346,139.784445,,腰を下ろせるベンチと木陰がある場所,,,,
7549,浅草橋,静かに歩く,児童遊園,左衛門町児童遊園,浅草橋1-3-8,35.696836,139.782856,,腰を下ろせるベンチと木陰がある場所,,,,
7803,浅草橋,静かに歩く,公園,柳北公園,東京都台東区浅草橋5-1-35,35.699836,139.782235,,歩き疲れた足を休められる場所,,,,
7735,清川,体験する,皮革工芸,大久保商店,東京都台東区清川1-5-4,35.723145,139.802032,,皮革工芸の職人が手を動かしている仕事場,,,,
7839,清川,静かに歩く,公園,清川公園,東京都台東区清川2-22-4,35.727174,139.803533,,子どもの声が聞こえる、町の小さな広場,,,,
7807,清川,静かに歩く,公園,石浜公園,東京都台東区清川1-14-21,35.724834,139.804013,,子どもの声が聞こえる、町の小さな広場,,,,
7864,秋葉原,静かに歩く,公園,秋葉原練塀公園,東京都台東区秋葉原4-1,35.701931,139.774167,,歩き疲れた足を休められる場所,,,,
7656,竜泉,体験する,食肉製造,ハム・ソーセージの店TAKE-ZO,東京都台東区竜泉1-32-5,35.724533,139.788757,,作っているところを覗ける食肉製造の工房,,,,
7782,竜泉,体験する,銭湯,有馬湯,東京都台東区竜泉3-31-2,35.726739,139.795081,,番台の向こうに湯気が立つ、地元の風呂,,,,
7666,竜泉,体験する,木目込人形,木目込人形工房　一葉堂,東京都台東区竜泉3-19-9,35.725632,139.792648,,作っているところを覗ける木目込人形の工房,,,,
7655,竜泉,体験する,陶芸,東京竜泉窯,東京都台東区竜泉1-31-7,35.72456,139.788681,,作っているところを覗ける陶芸の工房,,,,
7667,竜泉,体験する,江戸指物,江戸指物　渡辺,東京都台東区竜泉3-25-4,35.725803,139.792725,,作っているところを覗ける江戸指物の工房,,,,
7766,竜泉,体験する,江戸指物,江戸指物　渡邊,東京都台東区竜泉3-25-4,35.725803,139.792725,,「江戸指物」を今も手で作っている工房,,,,
7736,竜泉,体験する,東京桐たんす,片山桐箪笥店,東京都台東区竜泉1-18-3,35.723274,139.788925,,東京桐たんすの職人が手を動かしている仕事場,,,,
7521,竜泉,街を見る,名所・史跡,飛不動,竜泉3-11-11（正宝院内）,35.724233,139.791943,,ここで何があったかを伝える標が、静かに立っている,,,,
7818,竜泉,静かに歩く,公園,一葉記念公園,東京都台東区竜泉3-19-1,35.725503,139.792573,,子どもの声が聞こえる、町の小さな広場,,,,
7845,竜泉,静かに歩く,公園,弁天院公園,東京都台東区竜泉1-15-2,35.723244,139.787753,,子どもの声が聞こえる、町の小さな広場,,,,
7558,竜泉,静かに歩く,児童遊園,竜泉児童遊園,竜泉1-20-15,35.723704,139.790623,,子どもの声が聞こえる、町の小さな広場,,,,
7711,蔵前,体験する,草木染め　ニット･小物・生活雑貨,MAITO／真糸,東京都台東区蔵前4-20-12クラマエビル1F,35.70409,139.790054,,作っているところを覗けるニット･小物・生活雑貨の工房,,,,
7713,蔵前,体験する,コーヒー豆焙煎,焙煎処　縁の木,東京都台東区蔵前2-3-1,35.702099,139.790054,,コーヒー豆焙煎の職人が手を動かしている仕事場,,,,
7712,蔵前,体験する,江戸指物,茂上工芸,東京都台東区蔵前4-37-10,35.706192,139.788498,,江戸指物の職人が手を動かしている仕事場,,,,
7767,蔵前,体験する,江戸指物,茂上工芸,東京都台東区蔵前4-37-10,35.706192,139.788498,,江戸指物の職人が手を動かしている仕事場,,,,
7605,蔵前,体験する,老舗,鵜原商店,東京都台東区蔵前４－１８－７,35.704395,139.788116,,江戸のころから葬儀業を扱ってきた店,,,,
7496,蔵前,街を見る,名所・史跡,初代川柳墓,蔵前4丁目36番7号（竜宝寺内）,35.705915,139.788745,,「川柳」という言葉のもとになった人が眠る,,,,
7497,蔵前,街を見る,名所・史跡,勝川春章墓,蔵前4丁目16番16号（西福寺内）,35.703536,139.788815,,北斎の師にあたる絵師が眠る,,,,
7499,蔵前,街を見る,名所・史跡,浅草文庫跡碑,蔵前1丁目4番3号（榊神社内）,35.700086,139.789365,,明治の図書館がここにあったことを示す碑,,,,
7542,蔵前,静かに歩く,児童遊園,三筋児童遊園,蔵前4-18-7,35.704545,139.788135,,歩き疲れた足を休められる場所,,,,
7860,蔵前,静かに歩く,公園,御蔵前公園,東京都台東区蔵前1-4-8,35.700396,139.789355,,子どもの声が聞こえる、町の小さな広場,,,,
7808,蔵前,静かに歩く,公園,精華公園,東京都台東区蔵前4-15-9,35.703805,139.789285,,腰を下ろせるベンチと木陰がある場所,,,,
7729,駒形,体験する,ハンドバッグ製造,アトリエナカジマ,東京都台東区駒形2-7-3,35.708076,139.795792,,作っているところを覗けるハンドバッグ製造の工房,,,,
7730,駒形,体験する,ジュエリー,ジョリーポイント．すてきな．ジュエリー,東京都台東区駒形1-1-6,35.705894,139.793152,,作っているところを覗けるジュエリーの工房,,,,
7607,駒形,体験する,老舗,大嶋屋恩田,東京都台東区駒形２－６－６,35.70739,139.795364,,およそ150年、同じ商いを続けてきた店,,,,
7755,駒形,体験する,江戸手描提灯,有限会社大嶋屋恩田,東京都台東区駒形2-6-6,35.70739,139.795364,,江戸手描提灯の職人が手を動かしている仕事場,,,,
7756,駒形,体験する,江戸手描提灯,有限会社大嶋屋恩田,東京都台東区駒形2-6-6,35.70739,139.795364,,江戸手描提灯の職人が手を動かしている仕事場,,,,
7631,駒形,体験する,老舗,町田絲店,東京都台東区駒形１－１－１,35.70541,139.793106,,1864年から続く繊維製品(糸紐リボン等)の製造,,,,
7623,駒形,体験する,老舗,種亀,東京都台東区駒形１－７－７,35.708015,139.794861,,およそ200年、同じ商いを続けてきた店,,,,
7492,駒形,街を見る,博物館,世界のカバン博物館,台東区駒形 1丁目8番10号,35.708045,139.795301,,小さな展示室がひとつ。静かに時間が流れる場所,,,,
7707,鳥越,体験する,袋物・鞄,かくいわ芝田　吾希,東京都台東区鳥越1-10-6,35.702881,139.781815,,袋物・鞄の職人が手を動かしている仕事場,,,,
7706,鳥越,体験する,くるみボタン,くるみボタン工房　MiSuZuYa,東京都台東区鳥越1-6-6,35.70256,139.782089,,作っているところを覗けるくるみボタンの工房,,,,
7708,鳥越,体験する,革手工芸,協進エル,東京都台東区鳥越2-10-8,35.702957,139.785477,,革手工芸の職人が手を動かしている仕事場,,,,
7704,鳥越,体験する,木札,木札職人芳雲の店　フダヤドットコム,東京都台東区鳥越1-31-4,35.70343,139.78212,,木札の職人が手を動かしている仕事場,,,,
7705,鳥越,体験する,袋物,藤井袋物,東京都台東区鳥越1-17-5,35.702877,139.783463,,袋物の職人が手を動かしている仕事場,,,,
7745,鳥越,体験する,袋物,藤井袋物,東京都台東区鳥越1-17-5,35.702877,139.783463,,袋物の職人が手を動かしている仕事場,,,,
